sl_no,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
2643,U001,200704858,WAKE llc,16:34.2,2020,1930802320,00:00.0,00:00.0,00:00.0,NAA8,13887.08,0-15
2644,U001,200769623,WAL-MAR co,23:07.6,2020,1930581354,00:00.0,00:00.0,00:00.0,NAH4,23317.77,0-15
2645,U001,200769623,WAL-MAR in,08:39.1,2020,1930727987,00:00.0,00:00.0,00:00.0,NAH4,45554.01,0-15
2646,U001,200915438,GROC in,53:10.4,2020,1930561888,00:00.0,00:00.0,00:00.0,NAA8,9765.5,16-30
2647,U001,200769623,WAL-MAR ,24:06.5,2020,1930719256,00:00.0,00:00.0,00:00.0,NAH4,22775.83,0-15
2648,U001,200705742,DOT llc,28:21.5,2020,1930582984,00:00.0,00:00.0,00:00.0,NAAW,18724.89,
2649,U001,200769623,WAL-MAR us,49:12.5,2020,1930677287,00:00.0,00:00.0,00:00.0,NAH4,50134.93,0-15
2650,U001,200418007,AM us,55:21.9,2020,1930730367,00:00.0,00:00.0,00:00.0,NAA8,2892.24,0-15
2651,U001,200769623,WAL-MAR corporation,36:13.0,2020,1930675954,00:00.0,00:00.0,00:00.0,NAH4,1894.55,0-15
2652,U001,200780825,SYSCO FO us,09:26.7,2020,1930778306,00:00.0,00:00.0,00:00.0,NAA8,11618.07,0-15
2653,U001,200772595,SAFEW us,42:51.9,2020,1930637529,00:00.0,00:00.0,00:00.0,NAA8,21340.79,0-15
2654,U001,200769623,WAL-MAR trust,00:35.2,2020,1930829106,00:00.0,00:00.0,00:00.0,NAH4,12417.14,0-15
2655,U001,200762301,C&S WH co,25:59.9,2020,1930753153,00:00.0,00:00.0,00:00.0,NAC6,7889.32,
2656,U001,200780383,MEIJ co,31:20.2,2020,1930594512,00:00.0,00:00.0,00:00.0,NAA8,70314.76,0-15
2657,U001,200769623,WAL-MAR corp,43:27.5,2020,1930857050,00:00.0,00:00.0,00:00.0,NAH4,8022.47,0-15
2658,U001,200769623,WAL-MAR associates,54:27.3,2020,1930693273,00:00.0,00:00.0,00:00.0,NAH4,44777.63,0-15
2659,U001,200769623,WAL-MAR ,20:05.0,2020,1930851107,00:00.0,00:00.0,00:00.0,NAH4,14728.56,0-15
2660,U001,200726979,BJ'S  corporation,16:32.7,2020,1930670281,00:00.0,00:00.0,00:00.0,NAA8,625.96,0-15
2661,U001,200762301,C&S WH systems,25:49.2,2020,1930828110,00:00.0,00:00.0,00:00.0,NAC6,23747.29,
2662,U001,CCU013,KRAFT F systems,54:28.5,2020,1930677009,00:00.0,00:00.0,00:00.0,NAX2,337.9,31-45
2663,U001,200726979,BJ'S  corp,36:37.8,2020,1930593960,00:00.0,00:00.0,00:00.0,NAA8,464.92,0-15
2664,U001,200762301,C&S WH corporation,46:44.9,2020,1930582220,00:00.0,00:00.0,00:00.0,NAC6,3090.13,
2665,U001,200418007,AM systems,01:16.0,2020,1930794878,00:00.0,00:00.0,00:00.0,NAA8,7789.64,0-15
2666,U001,200769623,WAL-MAR us,37:15.1,2020,1930799311,00:00.0,00:00.0,00:00.0,NAH4,60557.39,0-15
2667,U001,200769623,WAL-MAR ,30:17.0,2020,1930671300,00:00.0,00:00.0,00:00.0,NAH4,42318.87,0-15
2668,U001,200762301,C&S WH corp,50:43.5,2020,1930685081,00:00.0,00:00.0,00:00.0,NAC6,12900.75,
2669,U001,100001196,DOLLAR co,31:34.1,2020,1930739182,00:00.0,00:00.0,00:00.0,NAA8,3418.63,
2670,CA02,140104440,SO foundation,22:38.2,2020,2960630264,00:00.0,00:00.0,00:00.0,CA10,72955.868,0-15
2671,U001,200769623,WAL-MAR co,48:03.4,2020,1930653568,00:00.0,00:00.0,00:00.0,NAH4,5226.82,0-15
2672,U001,200752302,KROGER corporation,48:50.6,2020,1930818190,00:00.0,00:00.0,00:00.0,NAA8,46084.92,0-15
2673,U001,200148860,DOLLA foundation,48:08.6,2020,1930799570,00:00.0,00:00.0,00:00.0,NAA8,37666.96,
2674,U001,200759878,SA corporation,39:08.6,2020,1930747438,00:00.0,00:00.0,00:00.0,NAH4,15005.29,0-15
2675,U001,200762301,C&S WH corporation,24:52.6,2020,1930806248,00:00.0,00:00.0,00:00.0,NAC6,66047.84,0-15
2676,U001,200769623,WAL-MAR associates,52:47.9,2020,1930652252,00:00.0,00:00.0,00:00.0,NAH4,23717.5,0-15
2677,U001,200772670,ASSOCIAT trust,01:51.5,2020,1930718071,00:00.0,00:00.0,00:00.0,NAU5,47285.23,0-15
2678,U001,200759878,SA trust,48:16.5,2020,1930777629,00:00.0,00:00.0,00:00.0,NAH4,9934.62,0-15
2679,U001,200769623,WAL-MAR us,03:44.1,2020,1930691415,00:00.0,00:00.0,00:00.0,NAH4,8871.71,0-15
2680,U001,200790107,ROU ,50:00.2,2020,1930692088,00:00.0,00:00.0,00:00.0,NAC6,55670.99,0-15
2681,U001,200744019,TARG llc,25:00.2,2020,1930730323,00:00.0,00:00.0,00:00.0,NAA8,84998.58,0-15
2682,U001,200769623,WAL-MAR ,01:17.2,2020,1930846815,00:00.0,00:00.0,00:00.0,NAH4,1414.69,0-15
2683,U001,200418007,AM co,14:11.1,2020,1930721279,00:00.0,00:00.0,00:00.0,NAA8,78493.27,16-30
2684,U001,200769623,WAL-MAR foundation,40:18.6,2020,1930610462,00:00.0,00:00.0,00:00.0,NAH4,19730.75,0-15
2685,U001,200707822,PUBLI corp,37:34.2,2020,1930723261,00:00.0,00:00.0,00:00.0,NAA8,7720.03,0-15
2686,U001,200707822,PUBLI associates,08:53.8,2020,1930703899,00:00.0,00:00.0,00:00.0,NAA8,64023.24,0-15
2687,U001,200794332,COST in,17:13.2,2020,1930630336,00:00.0,00:00.0,00:00.0,NAAX,68412.39,0-15
2688,U001,200799342,MITCH corp,50:11.1,2020,1930577462,00:00.0,00:00.0,00:00.0,NAA8,24131.48,
2689,U001,200775094,SAVE M us,06:30.1,2020,1930683103,00:00.0,00:00.0,00:00.0,NAA8,64853.21,0-15
2690,U001,200794332,COST foundation,45:36.7,2020,1930763689,00:00.0,00:00.0,00:00.0,NAAX,79709.92,0-15
2691,U001,200769369,DI foundation,54:37.6,2020,1930825623,00:00.0,00:00.0,00:00.0,NAA8,11840.88,0-15
2692,CA02,100030194,AMAZO us,57:35.4,2020,2960625368,00:00.0,00:00.0,00:00.0,CA10,86964.0137,0-15
2693,U001,200592182,DECA corporation,49:24.8,2020,1930893514,00:00.0,00:00.0,00:00.0,NAM2,43371.8,
2694,U001,200769623,WAL-MAR co,23:31.1,2020,1930773808,00:00.0,00:00.0,00:00.0,NAH4,23021.05,0-15
2695,U001,200779051,AFFILI systems,14:48.0,2020,1930828104,00:00.0,00:00.0,00:00.0,NAA8,21107.8,16-30
2696,U001,200762301,C&S WH us,32:50.5,2020,1930576772,00:00.0,00:00.0,00:00.0,NAC6,45223.53,0-15
2697,U001,200230690,DECA in,25:54.5,2020,1930586776,00:00.0,00:00.0,00:00.0,NAM4,456.02,
2698,U001,200794332,COST us,36:15.8,2020,1930670798,00:00.0,00:00.0,00:00.0,NAAX,12031.14,
2699,CA02,140104440,SO in,57:57.9,2020,2960620927,00:00.0,00:00.0,00:00.0,CA10,212175.2533,0-15
2700,U001,200769623,WAL-MAR corp,45:59.7,2020,1930719226,00:00.0,00:00.0,00:00.0,NAH4,62361.45,0-15
2701,U001,200803720,DEC corp,14:39.2,2020,1930618838,00:00.0,00:00.0,00:00.0,NAM4,194.4,
2702,U001,200769623,WAL-MAR corp,56:41.9,2020,1930715189,00:00.0,00:00.0,00:00.0,NAH4,5126.33,0-15
2703,U001,200416837,DEC systems,53:53.6,2020,1930858908,00:00.0,00:00.0,00:00.0,NAM2,5571.94,
2704,U001,200029010,KROG in,19:13.2,2020,1930748410,00:00.0,00:00.0,00:00.0,NAA8,115376.57,0-15
2705,U001,200719300,SYSTEMS ,40:31.1,2020,1930577270,00:00.0,00:00.0,00:00.0,NA32,13227.6,0-15
2706,U001,200762301,C&S WH ,35:57.1,2020,1930851105,00:00.0,00:00.0,00:00.0,NAC6,93287.68,0-15
2707,U001,100030964,NATURA llc,14:46.7,2020,1930764215,00:00.0,00:00.0,00:00.0,NAA8,355.75,
2708,U001,200769623,WAL-MAR corporation,27:57.9,2020,1930592706,00:00.0,00:00.0,00:00.0,NAH4,71.11,0-15
2709,U001,200769623,WAL-MAR ,09:09.4,2020,1930583363,00:00.0,00:00.0,00:00.0,NAH4,64992.96,0-15
2710,CA02,140106408,WAL-M corp,55:55.1,2020,2960626515,00:00.0,00:00.0,00:00.0,CA10,49922.3041,16-30
2711,U001,200704858,WAKE associates,49:15.6,2020,1930753104,00:00.0,00:00.0,00:00.0,NAA8,119254.6,0-15
2712,U001,200803720,DEC ,24:22.7,2020,1930698376,00:00.0,00:00.0,00:00.0,NAM1,5634.76,
2713,U001,200726979,BJ'S  corp,27:43.6,2020,1930654869,00:00.0,00:00.0,00:00.0,NAA8,1651.86,0-15
2714,U001,200762301,C&S WH corporation,25:31.6,2020,1930796524,00:00.0,00:00.0,00:00.0,NAC6,87751.66,0-15
2715,U001,200416837,DEC corp,53:53.6,2020,1930858310,00:00.0,00:00.0,00:00.0,NAM2,5514.22,
2716,U001,200762301,C&S WH trust,39:30.2,2020,1930653729,00:00.0,00:00.0,00:00.0,NAC6,25736.59,
2717,U001,200759878,SA foundation,29:21.0,2020,1930788376,00:00.0,00:00.0,00:00.0,NAH4,31061.4,0-15
2718,CA02,140104423,METRO  co,41:57.4,2020,2960622635,00:00.0,00:00.0,00:00.0,CA10,10307.0668,0-15
2719,U001,200793568,SUPE corp,17:59.8,2020,1930690741,00:00.0,00:00.0,00:00.0,NAA8,58930.49,0-15
2720,U001,200769623,WAL-MAR systems,56:41.9,2020,1930710868,00:00.0,00:00.0,00:00.0,NAH4,2747.42,0-15
2721,U001,200726979,BJ'S  systems,48:41.0,2020,1930593248,00:00.0,00:00.0,00:00.0,NAA8,371.46,0-15
2722,U001,200782001,GORDO trust,18:41.9,2020,1930810418,00:00.0,00:00.0,00:00.0,NAA8,39435.7,
2723,U001,200744019,TARG ,52:35.1,2020,1930692746,00:00.0,00:00.0,00:00.0,NAA8,36308.73,0-15
2724,U001,200769623,WAL-MAR trust,28:05.4,2020,1930777428,00:00.0,00:00.0,00:00.0,NAH4,33738.27,0-15
2725,U001,200769623,WAL-MAR corp,03:04.4,2020,1930646258,00:00.0,00:00.0,00:00.0,NAH4,935.7,0-15
2726,U001,200769623,WAL-MAR in,02:15.9,2020,1930691758,00:00.0,00:00.0,00:00.0,NAH4,629.67,0-15
2727,U001,200769623,WAL-MAR in,08:59.0,2020,1930592685,00:00.0,00:00.0,00:00.0,NAH4,3090.39,0-15
2728,U001,200759878,SA systems,08:24.6,2020,1930583811,00:00.0,00:00.0,00:00.0,NAH4,28547.47,
2729,U001,200769623,WAL-MAR trust,31:16.5,2020,1930658253,00:00.0,00:00.0,00:00.0,NAH4,19739.03,0-15
2730,U001,200707741,SMART &  us,16:48.2,2020,1930643509,00:00.0,00:00.0,00:00.0,NAA8,72278.05,0-15
2731,U001,200741831,SUPE llc,12:51.9,2020,1930759682,00:00.0,00:00.0,00:00.0,NAA8,15310.59,0-15
2732,U001,200762301,C&S WH ,48:51.8,2020,1930752848,00:00.0,00:00.0,00:00.0,NAC6,93720.29,0-15
2733,U001,200779906,BOZZU trust,40:10.8,2020,1930659143,00:00.0,00:00.0,00:00.0,NAGD,10607.02,0-15
2734,U001,200122145,G & C  co,02:35.6,2020,1930604295,00:00.0,00:00.0,00:00.0,NAA8,42526.72,0-15
2735,CA02,140104240,FEDER co,21:32.7,2020,2960626777,00:00.0,00:00.0,00:00.0,CA10,43625.3642,0-15
2736,U001,200744019,TARG associates,55:14.2,2020,1930877866,00:00.0,00:00.0,00:00.0,NAA8,1937.71,0-15
2737,U001,200761734,H E BUT corporation,58:51.2,2020,1930731987,00:00.0,00:00.0,00:00.0,NAA8,14239.22,
2738,U001,200769623,WAL-MAR foundation,28:05.4,2020,1930774950,00:00.0,00:00.0,00:00.0,NAH4,26577.99,0-15
2739,CA02,140104440,SO us,12:03.9,2020,2960616930,00:00.0,00:00.0,00:00.0,CA10,58797.8356,0-15
2740,U001,200769623,WAL-MAR foundation,00:18.5,2020,1930712126,00:00.0,00:00.0,00:00.0,NAH4,1223.89,0-15
2741,U001,200729942,SA corp,51:18.7,2020,1930785029,00:00.0,00:00.0,00:00.0,NAA8,10437.2,0-15
2742,U001,200741174,M B  trust,10:03.6,2020,1930604750,00:00.0,00:00.0,00:00.0,NAA8,4899.33,0-15
2743,U001,200772670,ASSOCIAT trust,10:41.1,2020,1930779254,00:00.0,00:00.0,00:00.0,NAU5,71906.19,0-15
2744,U001,200881076,ALBERT systems,14:10.5,2020,1930776697,00:00.0,00:00.0,00:00.0,NAA8,42967.49,16-30
2745,U001,200769623,WAL-MAR associates,26:25.7,2020,1930744166,00:00.0,00:00.0,00:00.0,NAH4,29931.45,0-15
2746,U001,200418007,AM foundation,08:54.5,2020,1930577595,00:00.0,00:00.0,00:00.0,NAA8,68357.55,16-30
2747,U001,200772670,ASSOCIAT ,58:00.6,2020,1930833538,00:00.0,00:00.0,00:00.0,NAU5,90146.67,0-15
2748,U001,200726979,BJ'S  corp,35:28.5,2020,1930691891,00:00.0,00:00.0,00:00.0,NAA8,577.57,0-15
2749,U001,200739534,OK ,38:17.9,2020,1930691555,00:00.0,00:00.0,00:00.0,NAA8,2575.55,0-15
2750,U001,200762301,C&S WH us,04:49.6,2020,1930646577,00:00.0,00:00.0,00:00.0,NAGD,14148.22,
2751,U001,200726979,BJ'S  corp,51:21.3,2020,1930641522,00:00.0,00:00.0,00:00.0,NAA8,130.04,
2752,U001,200769623,WAL-MAR corporation,22:06.4,2020,1930740959,00:00.0,00:00.0,00:00.0,NAH4,34402.01,0-15
2753,U001,200735528,ASSOCIA ,08:10.1,2020,1930748813,00:00.0,00:00.0,00:00.0,NAA8,70957.29,0-15
2754,CA02,140104429,COSTCO systems,19:00.5,2020,2960632058,00:00.0,00:00.0,00:00.0,CA10,32595.7318,0-15
2755,U001,200769623,WAL-MAR corporation,27:04.6,2020,1930610459,00:00.0,00:00.0,00:00.0,NAH4,2899.4,0-15
2756,U001,200769623,WAL-MAR corporation,38:44.8,2020,1930802249,00:00.0,00:00.0,00:00.0,NAH4,56673.77,0-15
2757,U001,200780383,MEIJ trust,07:59.7,2020,1930686248,00:00.0,00:00.0,00:00.0,NAA8,139381.63,0-15
2758,CA02,140104249,SOB foundation,09:54.0,2020,2960619792,00:00.0,00:00.0,00:00.0,CA10,94458.3645,0-15
2759,U001,200769623,WAL-MAR trust,43:27.5,2020,1930751718,00:00.0,00:00.0,00:00.0,NAH4,8949.7,0-15
2760,U001,200769623,WAL-MAR corp,19:26.1,2020,1930681316,00:00.0,00:00.0,00:00.0,NAH4,14424.91,0-15
2761,CA02,140106408,WAL-M co,01:48.7,2020,2960621960,00:00.0,00:00.0,00:00.0,CA10,74907.0732,16-30
2762,U001,200776463,KROGE systems,09:15.0,2020,1930765489,00:00.0,00:00.0,00:00.0,NAA8,51637.05,0-15
2763,CA02,140106408,WAL-M llc,24:56.8,2020,2960618045,00:00.0,00:00.0,00:00.0,CA10,45688.7336,16-30
2764,U001,200762301,C&S WH ,00:14.3,2020,1930746183,00:00.0,00:00.0,00:00.0,NAC6,58979.43,0-15
2765,U001,200769623,WAL-MAR systems,22:06.4,2020,1930622074,00:00.0,00:00.0,00:00.0,NAH4,29996.18,0-15
2766,U001,200769623,WAL-MAR us,49:26.5,2020,1930637664,00:00.0,00:00.0,00:00.0,NAH4,9576.77,0-15
2767,U001,200705372,FR corp,47:18.2,2020,1930777519,00:00.0,00:00.0,00:00.0,NAA8,48328.37,0-15
2768,U001,200076137,OLLIE in,31:19.7,2020,1930624969,00:00.0,00:00.0,00:00.0,NAA8,49478.4,0-15
2769,U001,200920735,ALBERT us,32:53.2,2020,1930800206,00:00.0,00:00.0,00:00.0,NAA8,66055.08,16-30
2770,U001,200769623,WAL-MAR us,21:01.9,2020,1930738277,00:00.0,00:00.0,00:00.0,NAH4,175.17,0-15
2771,U001,200775094,SAVE M corp,15:10.7,2020,1930846983,00:00.0,00:00.0,00:00.0,NAA8,87326.03,0-15
2772,U001,200726979,BJ'S  associates,02:12.1,2020,1930793136,00:00.0,00:00.0,00:00.0,NAA8,199.08,
2773,U001,200794332,COST us,35:17.1,2020,1930584773,00:00.0,00:00.0,00:00.0,NAAX,49209.72,0-15
2774,U001,200793568,SUPE corp,14:16.3,2020,1930714520,00:00.0,00:00.0,00:00.0,NAA8,16610.79,0-15
2775,U001,CCCA02,KRAFT  llc,38:46.2,2020,1930651630,00:00.0,00:00.0,00:00.0,NAG2,48795.6,0-15
2776,U001,200772670,ASSOCIAT us,55:34.9,2020,1930671016,00:00.0,00:00.0,00:00.0,NAU5,49964.26,0-15
2777,U001,200769623,WAL-MAR in,06:20.0,2020,1930652573,00:00.0,00:00.0,00:00.0,NAH4,54535.15,0-15
2778,U001,200776463,KROGE ,53:51.1,2020,1930687531,00:00.0,00:00.0,00:00.0,NAA8,104576.02,0-15
2779,U001,200714710,SYSCO  ,48:29.1,2020,1930781871,00:00.0,00:00.0,00:00.0,NAA8,59846.18,0-15
2780,U001,200764795,SYSCO  systems,59:12.5,2020,1930584078,00:00.0,00:00.0,00:00.0,NAA8,33182.92,0-15
2781,U001,200772670,ASSOCIAT systems,43:47.3,2020,1930684222,00:00.0,00:00.0,00:00.0,NAU5,29562.38,0-15
2782,U001,200705742,DOT foundation,20:18.7,2020,1930582253,00:00.0,00:00.0,00:00.0,NAA8,5228.8,
2783,U001,200726979,BJ'S  co,18:19.1,2020,1930664154,00:00.0,00:00.0,00:00.0,NAA8,521.04,0-15
2784,U001,200769623,WAL-MAR trust,43:27.5,2020,1930623840,00:00.0,00:00.0,00:00.0,NAH4,8787.87,0-15
2785,U001,200769623,WAL-MAR us,31:16.5,2020,1930790975,00:00.0,00:00.0,00:00.0,NAH4,12638.82,0-15
2786,U001,200769623,WAL-MAR co,00:35.2,2020,1930820188,00:00.0,00:00.0,00:00.0,NAH4,15946.04,0-15
2787,U001,200769623,WAL-MAR trust,24:23.9,2020,1930731983,00:00.0,00:00.0,00:00.0,NAH4,24227.89,0-15
2788,U001,200748108,KROGER us,04:43.7,2020,1930758672,00:00.0,00:00.0,00:00.0,NAA8,7782.52,0-15
2789,CA02,140106408,WAL-M co,44:54.4,2020,2960627826,00:00.0,00:00.0,00:00.0,CA10,3141.4508,0-15
2790,CA02,140104240,FEDER co,35:39.9,2020,2960620058,00:00.0,00:00.0,00:00.0,CA10,89189.6728,0-15
2791,U001,CCU013,KRAFT F systems,06:41.0,2020,1930628326,00:00.0,00:00.0,00:00.0,NAX2,15329.58,46-60
2792,U001,200752302,KROGER in,46:07.2,2020,1930577202,00:00.0,00:00.0,00:00.0,NAA8,149699.98,0-15
2793,CA02,140104409,LOB systems,22:05.4,2020,2960628080,00:00.0,00:00.0,00:00.0,CA10,49658.0649,0-15
2794,U001,200769623,WAL-MAR co,04:00.7,2020,1930854148,00:00.0,00:00.0,00:00.0,NAH4,32870.23,0-15
2795,U001,200769623,WAL-MAR associates,01:01.3,2020,1930826779,00:00.0,00:00.0,00:00.0,NAH4,6251.42,0-15
2796,U001,200769623,WAL-MAR us,13:32.3,2020,1930642652,00:00.0,00:00.0,00:00.0,NAH4,56448.14,0-15
2797,U001,200729942,SA foundation,10:21.8,2020,1930794203,00:00.0,00:00.0,00:00.0,NAA8,16360.32,0-15
2798,U001,200737918,W LEE  trust,13:42.4,2020,1930716081,00:00.0,00:00.0,00:00.0,NAA8,100963.99,0-15
2799,U001,200769623,WAL-MAR systems,14:00.5,2020,1930690869,00:00.0,00:00.0,00:00.0,NAH4,22014.9,0-15
2800,U001,200782669,SYGMA corporation,49:00.2,2020,1930679376,00:00.0,00:00.0,00:00.0,NA32,8889.77,0-15
2801,U001,200769623,WAL-MAR foundation,27:04.6,2020,1930883166,00:00.0,00:00.0,00:00.0,NAH4,3403.8,0-15
2802,U001,200762301,C&S WH in,27:39.2,2020,1930857639,00:00.0,00:00.0,00:00.0,NAC6,8718.8,
2803,U001,200762301,C&S WH ,32:32.4,2020,1930632303,00:00.0,00:00.0,00:00.0,NAC6,19430.62,
2804,U001,200704858,WAKE ,10:26.7,2020,1930607430,00:00.0,00:00.0,00:00.0,NAA8,41675.4,0-15
2805,U001,200783734,FAREW in,24:12.6,2020,1930819603,00:00.0,00:00.0,00:00.0,NAA8,25321,0-15
2806,U001,200769623,WAL-MAR co,56:41.9,2020,1930721701,00:00.0,00:00.0,00:00.0,NAH4,4341.39,0-15
2807,U001,200705742,DOT llc,52:56.5,2020,1930609902,00:00.0,00:00.0,00:00.0,NAAW,6623.16,
2808,U001,200769623,WAL-MAR llc,00:35.2,2020,1930704204,00:00.0,00:00.0,00:00.0,NAH4,19307.62,0-15
2809,CA02,140104429,COSTCO us,24:42.1,2020,2960633715,00:00.0,00:00.0,00:00.0,CA10,50634.3785,0-15
2810,U001,200780383,MEIJ foundation,06:06.4,2020,1930818643,00:00.0,00:00.0,00:00.0,NAA8,22976.4,0-15
2811,U001,200418007,AM us,10:34.5,2020,1930774122,00:00.0,00:00.0,00:00.0,NAGD,48.48,0-15
2812,U001,200704858,WAKE systems,39:41.1,2020,1930718032,00:00.0,00:00.0,00:00.0,NAA8,132263.79,0-15
2813,U001,CCCA02,KRAFT  corp,16:36.7,2020,1930644058,00:00.0,00:00.0,00:00.0,NAG2,31315.2,0-15
2814,U001,200762950,HAR systems,47:28.8,2020,1930637379,00:00.0,00:00.0,00:00.0,NAA8,18153.94,
2815,U001,200712105,WALG corporation,02:12.9,2020,1930704620,00:00.0,00:00.0,00:00.0,NAA8,108731.18,0-15
2816,CA02,140104331,CORE-M corp,18:22.2,2020,2960631394,00:00.0,00:00.0,00:00.0,CA10,894.1536,0-15
2817,U001,200315290,KWI in,16:04.7,2020,1930647693,00:00.0,00:00.0,00:00.0,NAA8,39140.66,0-15
2818,CA02,140104409,LOB in,14:36.8,2020,2960624429,00:00.0,00:00.0,00:00.0,CA10,56692.9675,0-15
2819,U001,200759878,SA systems,41:13.0,2020,1930809320,00:00.0,00:00.0,00:00.0,NAH4,30866.63,0-15
2820,U001,200759878,SA us,58:16.8,2020,1930729464,00:00.0,00:00.0,00:00.0,NAH4,517.33,0-15
2821,U001,200769623,WAL-MAR systems,28:05.4,2020,1930777493,00:00.0,00:00.0,00:00.0,NAH4,26159.43,0-15
2822,CA02,140104409,LOB ,44:22.3,2020,2960616658,00:00.0,00:00.0,00:00.0,CA10,91072.464,0-15
2823,U001,200466603,SMITH'S co,13:17.9,2020,1930776788,00:00.0,00:00.0,00:00.0,NAA8,9805.69,0-15
2824,U001,200230690,DECA associates,05:41.1,2020,1930599372,00:00.0,00:00.0,00:00.0,NAM2,26830.81,
2825,U001,200750051,ALBER co,33:33.0,2020,1930840981,00:00.0,00:00.0,00:00.0,NAA8,174914.51,31-45
2826,U001,200014556,ALBER foundation,27:56.7,2020,1930567455,00:00.0,00:00.0,00:00.0,NAA8,57568.66,16-30
2827,U001,200792293,UNIFIE trust,11:48.7,2020,1930859143,00:00.0,00:00.0,00:00.0,NAA8,10897.62,0-15
2828,U001,200592182,DECA systems,46:53.1,2020,1930700901,00:00.0,00:00.0,00:00.0,NAM2,5988.98,
2829,U001,200705742,DOT associates,09:04.8,2020,1930803523,00:00.0,00:00.0,00:00.0,NA32,15070.82,
2830,U001,200769623,WAL-MAR systems,53:18.0,2020,1930666130,00:00.0,00:00.0,00:00.0,NAH4,33933.78,0-15
2831,CA02,140105785,SHOPPE us,33:01.6,2020,2960632829,00:00.0,00:00.0,00:00.0,CA10,72469.0463,0-15
2832,U001,200762301,C&S WH co,51:35.1,2020,1930704949,00:00.0,00:00.0,00:00.0,NAC6,1358.89,
2833,U001,200881076,ALBERT llc,18:37.6,2020,1930840833,00:00.0,00:00.0,00:00.0,NAA8,66594.51,16-30
2834,U001,200794332,COST llc,04:25.5,2020,1930719676,00:00.0,00:00.0,00:00.0,NAAX,9286.83,
2835,CA02,140106408,WAL-M corp,22:16.7,2020,2960622347,00:00.0,00:00.0,00:00.0,CA10,1423.5168,16-30
2836,U001,CCU013,KRAFT F associates,26:40.5,2020,1930647688,00:00.0,00:00.0,00:00.0,NAX2,13866.12,31-45
2837,U001,200934569,SODEXHO  ,01:18.0,2020,1930630903,00:00.0,00:00.0,00:00.0,NAG2,651.19,16-30
2838,U001,200759878,SA us,12:49.4,2020,1930794895,00:00.0,00:00.0,00:00.0,NAH4,140574.69,0-15
2839,U001,200769623,WAL-MAR corporation,26:15.6,2020,1930717161,00:00.0,00:00.0,00:00.0,NAH4,49972.71,0-15
2840,U001,200230690,DECA systems,28:39.7,2020,1930672059,00:00.0,00:00.0,00:00.0,NAM2,29955.73,
2841,U001,200148860,DOLLA in,47:49.7,2020,1930623773,00:00.0,00:00.0,00:00.0,NAA8,29734.33,
2842,CA02,140104249,SOB foundation,44:22.3,2020,2960627915,00:00.0,00:00.0,00:00.0,CA10,27848.8193,0-15
2843,U001,200769623,WAL-MAR corporation,02:15.9,2020,1930690057,00:00.0,00:00.0,00:00.0,NAH4,471.56,0-15
2844,U001,200704858,WAKE systems,59:31.3,2020,1930614512,00:00.0,00:00.0,00:00.0,NAA8,51545.03,0-15
2845,U001,200759878,SA in,21:02.9,2020,1930725882,00:00.0,00:00.0,00:00.0,NAH4,15512.01,0-15
2846,U001,200769623,WAL-MAR associates,53:54.9,2020,1930607067,00:00.0,00:00.0,00:00.0,NAH4,63524.23,0-15
2847,U001,200769623,WAL-MAR in,16:12.7,2020,1930624625,00:00.0,00:00.0,00:00.0,NAH4,10782.24,0-15
2848,U001,200777735,NASH  foundation,53:51.3,2020,1930781522,00:00.0,00:00.0,00:00.0,NAA8,76614.24,0-15
2849,U001,200761734,H E BUT trust,41:31.3,2020,1930646094,00:00.0,00:00.0,00:00.0,NAA8,68264.72,0-15
2850,U001,200769623,WAL-MAR ,10:46.5,2020,1930670916,00:00.0,00:00.0,00:00.0,NAH4,35553.88,0-15
2851,U001,200418007,AM corporation,09:51.3,2020,1930789411,00:00.0,00:00.0,00:00.0,NAGD,4032,0-15
2852,U001,200526831,PERISH co,32:29.6,2020,1930801378,00:00.0,00:00.0,00:00.0,NAA8,70453.27,0-15
2853,U001,200561861,CO in,36:19.2,2020,1930566868,00:00.0,00:00.0,00:00.0,NAA8,1688.04,0-15
2854,U001,200769623,WAL-MAR foundation,11:45.8,2020,1930739040,00:00.0,00:00.0,00:00.0,NAH4,43532.97,0-15
2855,U001,200875006,KROGER llc,35:59.8,2020,1930671702,00:00.0,00:00.0,00:00.0,NAA8,101203.53,0-15
2856,U001,200772670,ASSOCIAT associates,38:25.5,2020,1930659358,00:00.0,00:00.0,00:00.0,NAU5,163389.93,0-15
2857,U001,200744019,TARG corporation,17:08.2,2020,1930703609,00:00.0,00:00.0,00:00.0,NAA8,7187.31,0-15
2858,U001,200777735,NASH  us,52:34.9,2020,1930665530,00:00.0,00:00.0,00:00.0,NAGD,29222.69,
2859,U001,200148860,DOLLA associates,33:10.0,2020,1930580533,00:00.0,00:00.0,00:00.0,NAA8,11099.81,
2860,U001,200704858,WAKE ,49:15.6,2020,1930753806,00:00.0,00:00.0,00:00.0,NAA8,93973.19,0-15
2861,U001,200769623,WAL-MAR systems,00:35.2,2020,1930704102,00:00.0,00:00.0,00:00.0,NAH4,18799.45,0-15
2862,U001,200769623,WAL-MAR corp,39:55.1,2020,1930831546,00:00.0,00:00.0,00:00.0,NAH4,12264.24,0-15
